Customer_id,Age,Gender,Location,MembershipLevel
504308,53,,Kansas,Star
504309,18,1,Illinois,Star
504310,52,1,New Mexico,Aurora
504311,29,0,Virginia,Star
504312,21,1,Connecticut,Star
504313,55,0,Hawaii,Star
504314,17,1,New Mexico,Star
504315,30,1,Connecticut,Star
504316,51,0,Florida,Star
504317,63,1,Vermont,Star
504318,26,0,California,Star
504319,42,1,Colorado,Star
504320,40,0,Iowa,Star
504321,19,0,South Carolina,
504322,30,1,Colorado,Star
504323,60,0,New York,Star
504324,22,0,Maine,Star
504325,39,1,New Mexico,Star
504326,21,1,Maryland,Star
504327,20,1,Missouri,Star
504328,54,0,Hawaii,Star
504329,53,0,North Dakota,Star
504330,22,1,Ohio,Star
504331,32,1,Nebraska,Star
504332,36,1,Montana,Star
504333,24,1,Indiana,Star
504334,57,1,Wisconsin,Star
504335,27,1,Alabama,Star
504336,21,0,Alabama,Star
504337,52,1,Indiana,Star
504338,52,1,Maine,Star
504339,52,1,Montana,Star
504340,55,0,Arkansas,Star
504341,63,1,Missouri,Star
504342,17,0,Pennsylvania,Star
504343,41,1,New Hampshire,Star
504344,32,1,Washington,Star
504345,57,0,Texas,Star
504346,39,1,Ohio,Star
504347,35,0,New York,Star
504348,48,1,Kentucky,Star
504349,56,1,New Mexico,Star
504350,60,0,Texas,Star
504351,32,1,Maine,Star
504352,49,1,Massachusetts,Star
504353,22,1,Wyoming,Star
504354,25,1,Kentucky,Star
504355,57,1,Florida,Star
504356,50,0,Massachusetts,Star
504357,55,0,Iowa,Star
504358,27,1,Maryland,Star
504359,19,0,Louisiana,Star
504360,33,1,North Carolina,Star
504361,51,1,Kentucky,Star
504362,63,0,Illinois,Star
504363,52,1,Rhode Island,Star
504364,34,1,Iowa,Star
504365,46,1,Massachusetts,Star
504366,63,1,South Carolina,Star
504367,19,1,West Virginia,Star
504368,17,0,Kansas,Star
504369,46,1,Iowa,Star
504370,59,1,South Carolina,Star
504371,45,1,Texas,Star
504372,29,1,West Virginia,Star
504373,54,0,Kansas,Star
504374,46,1,Iowa,Star
504375,47,0,South Carolina,Aurora
504376,45,1,Texas,Star
504377,21,0,Tennessee,Aurora
504378,25,1,California,Aurora
504379,55,1,Colorado,Star
504380,40,1,Ohio,Star
504381,34,1,Maine,Star
504382,45,1,Montana,Star
504383,57,0,Oregon,Star
504384,32,0,North Dakota,Star
504385,18,1,Texas,Star
504386,39,1,Alaska,Aurora
504387,46,0,Oklahoma,Star
504388,41,0,Connecticut,Star
504389,40,0,Vermont,Star
504390,54,1,Ohio,Star
504391,49,1,Oklahoma,Star
504392,56,1,Oregon,Star
504393,56,1,Illinois,Star
504394,18,1,Nevada,Star
