Customer_id,Time_Spent,Browser,Newsletter,Voucher,Churn
504308,885,0,0,0,0
504309,656,0,0,1,1
504310,761,0,1,0,0
504311,,0,1,0,0
504312,605,0,1,0,0
504313,364,1,0,0,0
504314,654,0,0,0,0
504315,1011,0,0,0,0
504316,312,3,1,0,0
504317,828,0,0,0,0
504318,1029,0,0,1,1
504319,479,1,0,0,0
504320,645,0,0,0,0
504321,501,1,0,0,0
504322,802,2,0,0,1
504323,804,0,0,0,0
504324,931,3,0,0,0
504325,911,3,1,0,0
504326,468,0,0,1,0
504327,714,0,0,0,0
504328,474,0,0,1,0
504329,691,1,1,0,0
504330,394,0,0,1,0
504331,1013,1,0,1,1
504332,165,3,0,0,0
504333,710,0,0,0,0
504334,664,0,0,1,0
504335,808,1,0,0,0
504336,992,0,0,0,0
504337,311,0,0,1,1
504338,283,1,1,0,0
504339,941,0,0,0,0
504340,,0,0,0,0
504341,469,0,0,0,1
504342,338,1,0,0,1
504343,723,0,0,0,0
504344,496,0,1,0,0
504345,142,0,0,1,0
504346,484,0,0,0,0
504347,552,0,0,0,0
504348,610,3,1,0,0
504349,128,0,1,0,1
504350,755,0,0,0,1
504351,1040,0,0,1,0
504352,729,3,0,0,0
504353,1033,0,0,0,0
504354,628,2,0,0,0
504355,757,0,0,0,0
504356,815,0,1,1,0
504357,1038,1,1,0,0
504358,199,0,0,0,0
504359,216,0,0,1,0
504360,372,1,0,0,0
504361,929,0,0,0,0
504362,552,0,0,1,1
504363,515,3,0,0,0
504364,339,0,0,0,0
504365,324,0,0,0,0
504366,240,1,0,0,1
504367,435,0,0,0,0
504368,795,3,0,0,0
504369,842,0,1,1,0
504370,993,0,0,0,0
504371,653,0,0,1,0
504372,748,1,0,1,0
504373,216,0,1,0,0
504374,822,1,0,0,0
504375,181,0,0,1,0
504376,1018,3,0,0,0
504377,633,3,0,0,0
504378,159,0,0,0,0
504379,683,0,0,1,0
504380,921,0,0,1,0
504381,338,3,0,0,0
504382,986,0,0,1,1
504383,1048,3,0,0,0
504384,870,0,0,0,1
504385,735,0,0,0,0
504386,750,0,0,1,1
504387,1048,0,0,1,0
504388,572,0,0,0,0
504389,1070,0,1,0,0
504390,385,0,0,0,0
504391,259,1,1,0,0
504392,636,0,0,0,0
504393,965,2,1,1,0
504394,271,0,0,0,0
504395,168,3,0,1,0
504396,269,0,0,0,0
504397,932,0,0,0,0
504398,1005,0,0,1,0
504399,159,0,0,0,1
504400,773,0,0,0,0
504401,1050,0,0,0,0
504402,648,0,0,0,0
504403,764,1,0,0,0
504404,588,0,0,1,0
504405,678,0,0,0,0
504406,800,0,1,0,0
504407,852,1,0,1,0
504408,511,3,0,0,0
