Customer_id,Revenue_Total,N_Purchases,Purchase_DATE,Purchase_VALUE,Pay_Method,Most_Purchased
504308,45.3,2,22.06.21,24.915,1,Fresh Fruits
504309,36.2,3,10.12.21,2.896,2,Fresh Vegetables
504310,10.6,1,14.03.21,10.6,0,Dairy and Eggs
504311,54.1,5,25.10.21,43.28,1,Meat and Poultry
504312,56.9,1,14.09.21,56.9,,Seafood
504313,,6,14.05.21,12.467,1,Bread and Bakery
504314,30.7,6,09.01.21,2.456,0,Pantry Staples
504315,8.1,7,28.03.21,6.561,3,Beverages
504316,18,4,04.08.21,11.88,0,Snacks and Chips
504317,19.2,4,06.10.21,11.904,3,Frozen Foods
504318,36.5,5,31.12.21,31.39,2,Breakfast Foods
504319,14,4,22.11.21,4.34,3,Canned Goods
504320,14.7,2,02.08.21,2.94,3,Pasta and Grains
504321,37.4,4,07.05.21,15.334,3,Cooking Oils and Condiments
504322,15.4,1,02.05.21,15.4,3,Baking Ingredients
504323,28.7,7,04.06.21,0.861,3,Spices and Seasonings
504324,39.7,3,22.02.21,30.569,2,International Foods
504325,5.1,3,13.07.21,1.53,3,Organic Products
504326,43.9,6,13.09.21,19.755,1,Gluten-Free Products
504327,36.4,6,16.01.21,14.56,2,Vegan and Plant-Based
504328,23.2,1,03.07.21,23.2,0,Ready-to-Eat Meals
504329,26.3,7,22.12.21,15.517,3,Baby and Toddler
504330,33.1,2,10.01.21,0.662,0,Pet Supplies
504331,1.2,4,20.01.21,0.204,0,Cleaning Supplies
504332,41.3,6,16.04.21,24.367,1,Personal Care
504333,25.5,3,13.05.21,4.08,0,Health and Wellness
504334,34.1,5,07.09.21,18.073,3,Vitamins and Supplements
504335,30.8,4,21.07.21,26.18,2,Home and Kitchen Essentials
504336,31.1,2,11.01.21,9.019,0,Office and School Supplies
504337,48.1,6,19.10.21,34.151,3,Electronics and Appliances
504338,42.7,2,04.02.21,22.204,1,Outdoor and Garden
504339,53.5,4,13.12.21,14.98,0,Home Decor
504340,39,2,03.02.21,23.79,1,Clothing and Accessories
504341,30.3,5,16.08.21,5.454,0,Shoes and Footwear
504342,34.7,1,17.09.21,34.7,1,Beauty and Skincare
504343,41.3,6,11.10.21,9.086,1,Hair Care
504344,26.4,7,14.05.21,4.752,0,Oral Care
504345,33.1,7,12.07.21,30.452,2,Bath and Body
504346,59.3,3,24.04.21,21.348,0,Feminine Hygiene
